"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Projects\trello\src\index.css", "CSS", 0, 0, 0, 0, 759, 0, 10, 130, 899
"c:\Users\admin\Desktop\Projects\trello\src\logic\create-calendar.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\admin\Desktop\Projects\trello\src\logic\filter-cards.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\admin\Desktop\Projects\trello\src\logic\sort-by-tag.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\admin\Desktop\Projects\trello\src\main.jsx", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\admin\Desktop\Projects\trello\src\routes\Home.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\admin\Desktop\Projects\trello\src\routes\Landing.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\admin\Desktop\Projects\trello\src\routes\Login.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\admin\Desktop\Projects\trello\src\routes\Signup.jsx", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\admin\Desktop\Projects\trello\src\routes\Trello.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\admin\Desktop\Projects\trello\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1082, 5, 7797, 14, 1309, 34442, 19, 387, 45055
